Ship_FID,Shipment_ID,Factory_ID,Factory_Name,Truck_Name,Truck_Model,Truck_License,Truck_Load,Driver_EID,Driver_SSN,Driver_Fname,Driver_Lname,Driver_phone,Drug_ID,Drug_Qty,Shipment_Date
51139,5647511391210 ,88685647,Eli Lilly and Company,BNZ1143,BENZ,STR7794,medium,564728883,789968456,Ahmed,Akbari,4381123819,56221,40,05/09/2022
51139,980511392421 ,22430980,Biogen,BNZ1166,BENZ,WSR2244,medium,98073452,785009765,Jack,Sparrow,4382291134,47656,40,06/09/2022
51139,5547511393343 ,9120765547,Merck Co.,MCK9022,MACK,DVR7313,high,554765543,780977656,Jane,Rouge,4372241942,6642241,80,07/09/2022
51311,5647513117615 ,88685647,Eli Lilly and Company,BNZ1172,BENZ,PKP2113,medium,564711232,780221462,Amy,Schumer,4382294424,56221,40,08/09/2022
51311,980513114322 ,22430980,Biogen,BNZ1123,BENZ,IUO8897,medium,98033824,785433268,Howard,Hamlin,4372294421,47656,40,13/09/2022
51311,5547513113326 ,9120765547,Merck Co.,MCK9221,MACK,DVR3222,high,554732136,773563227,Ali,Shaash,4381134294,6642241,80,15/09/2022
51311,5647513112811 ,88685647,Eli Lilly and Company,BNZ1132,BENZ,HGH8890,medium,564711246,769904322,Bill,Gorte,4372556930,56221,40,19/09/2022
51311,8571513112344 ,9212848571,Superior Supplement Manufacturing,VLV4001,VOLVO,GQW6679,low,857176112,781193042,Dakota,Lebronch,4612246368,786664,20,20/09/2022
51311,980513112926 ,22430980,Biogen,BNZ1122,BENZ,MKH8785,medium,98022346,784426892,Kim,Mickey,4612679426,47656,40,23/09/2022
51311,5647513112922 ,88685647,Eli Lilly and Company,BNZ1143,BENZ,STR7794,medium,564728883,789968456,Ahmed,Akbari,4381123819,56221,40,26/09/2022
51311,3371513112214 ,9120763371,Makers Nutrition,MCK9060,MACK,DVR7317,high,337111325,762214761,Mark,Breckly,4712348336,121222,80,27/09/2022
51385,5647513858289 ,88685647,Eli Lilly and Company,BNZ1124,BENZ,KJG7653,medium,564722146,780009313,Saul,Goodwill,4612236637,56221,40,28/09/2022
51385,980513853310 ,22430980,Biogen,BNZ1166,BENZ,WSR2244,medium,98073452,785009765,Jack,Sparrow,4382291134,47656,40,30/09/2022
51434,1000514345004 ,9120000000,Roche Holding,KEN311,KENWORTH,KUF6689,high,100044738,793313213,John,Smith,4718393296,32566,80,03/10/2022
51434,3371514342252 ,9120763371,Makers Nutrition,MCK9445,MACK,DVR9315,high,337113573,762283219,Jackie,Kiwi,4731195739,121222,80,04/10/2022
51434,980514348778 ,22430980,Biogen,BNZ1192,BENZ,LUM8852,medium,98012442,778311442,Steve,Rocks,4394423686,47656,40,06/10/2022
51436,5647514363122 ,88685647,Eli Lilly and Company,BNZ1183,BENZ,SPL4575,medium,564712446,785313563,Mathew,Franks,4337432673,56221,40,10/10/2022
51436,5547514364662 ,9120765547,Merck Co.,MCK9122,MACK,DVR3322,high,554736784,785321233,Anthony,Bricks,4722256821,6642241,80,11/10/2022
51436,8671514367829 ,9212848571,Superior Supplement Manufacturing,VLV4021,VOLVO,LLI9876,low,857121363,768824321,Mark,Vienns,4389542346,786664,20,12/10/2022
51311,5647513112242 ,88685647,Eli Lilly and Company,BNZ1172,BENZ,PKP2113,medium,564711232,780221462,Amy,Schumer,4382294424,56221,40,14/10/2022
51311,980513113325 ,22430980,Biogen,BNZ1123,BENZ,IUO8897,medium,98033824,785433268,Howard,Hamlin,4372294421,47656,40,17/10/2022
51311,3371513112294 ,9120763371,Makers Nutrition,MCK9445,MACK,DVR9315,high,337113573,762283219,Jackie,Kiwi,4731195739,121222,80,19/10/2022
51311,5647513112248 ,88685647,Eli Lilly and Company,BNZ1198,BENZ,YXR8532,medium,564712457,775324662,Prince,Edwards,4332257431,56221,40,25/10/2022
51494,100051492002 ,9120000000,Roche Holding,KEN293,KENWORTH,ERD6642,high,100044678,782146895,Charles,Banks,4712258357,32566,80,27/10/2022
51494,5547514942999 ,9120765547,Merck Co.,MCK9110,MACK,DVR3392,high,554799521,766933224,Kano,Hills,4379456752,6642241,80,03/11/2022
51311,5647513111282 ,88685647,Eli Lilly and Company,BNZ1183,BENZ,SPL4575,medium,564712446,785313563,Mathew,Franks,4337432673,56221,40,13/09/2022
51311,8571513119298 ,9212848571,Superior Supplement Manufacturing,VLV4003,VOLVO,EUU8876,low,857122452,782124773,Jackson,Briggs,4712472259,786664,20,16/09/2022
51311,980513112274 ,22430980,Biogen,BNZ1122,BENZ,MKH8785,medium,98022346,784426892,Kim,Mickey,4612679426,47656,40,21/09/2022
51311,5647513112281 ,88685647,Eli Lilly and Company,BNZ1172,BENZ,PKP2113,medium,564711232,780221462,Amy,Schumer,4382294424,56221,40,22/09/2022
51311,1000513112004 ,9120000000,Roche Holding,KEN299,KENWORTH,KKR6684,high,100023592,769942213,Kenneth,Pulse,4221552950,32566,80,05/10/2022
51311,5647513114829 ,88685647,Eli Lilly and Company,BNZ1144,BENZ,RCY9635,medium,564721367,783100226,Micheal,Phoebes,4372216904,56221,40,14/10/2022
51311,5547513112200 ,9120765547,Merck Co.,MCK9110,MACK,DVR3392,high,554799521,766933224,Kano,Hills,4379456752,6642241,80,18/10/2022
51311,8571513118293 ,9212848571,Superior Supplement Manufacturing,VLV4011,VOLVO,ZCR5574,low,857123668,784235793,Greg,Mills,4379523346,786664,20,03/11/2022
